"id","path_id","level_id","component_added","stress","median","verification","classification","example"
"0",10,0,NA,128,0.712488,"gradual","best","list"
"400000000000",10,1.26582278481013,"m.appendLemmaLoopBody.2.post.acc.32",128,7.723709,"gradual","best","list"
"400020000000",10,2.53164556962025,"m.list_insert.4.unfold.pred_inst.49",128,7.801451,"gradual","best","list"
"400022000000",10,3.79746835443038,"m.list_insert.5.inv.acc.53",128,7.872086,"gradual","best","list"
"400022080000",10,5.06329113924051,"m.list_insert.4.unfold.pred_inst.59",128,7.750904,"gradual","best","list"
"40400022080000",10,6.32911392405063,"m.appendLemmaLoopBody.1.pre.acc.24",128,7.721516,"gradual","best","list"
"40404022080000",10,7.59493670886076,"m.create_list.3.fold.pred_inst.40",128,7.844142,"gradual","best","list"
"40404022280000",10,8.86075949367089,"m.list_insert.5.inv.acc.57",128,7.724718,"gradual","best","list"
"404040a2280000",10,10.126582278481,"m.list_insert.3.fold.pred_inst.47",128,7.850593,"gradual","best","list"
"424040a2280000",10,11.3924050632911,"m.appendLemmaLoopBody.2.post.default.29",128,7.71972,"gradual","best","list"
"40424040a2280000",10,12.6582278481013,"m.appendLemmaAfterLoopBody.3.fold.pred_inst.16",128,7.781282,"gradual","best","list"
"140424040a2280000",10,13.9240506329114,"m.appendLemmaAfterLoopBody.3.fold.pred_inst.14",128,7.746187,"gradual","best","list"
"140424040a2280200",10,15.1898734177215,"m.main.5.inv.default.69",128,7.692384,"gradual","best","list"
"140424040a2284200",10,16.4556962025316,"m.list_insert.3.fold.pred_inst.64",128,7.661602,"gradual","best","list"
"10140424040a2284200",10,17.7215189873418,"m.appendLemmaAfterLoopBody.1.pre.acc.6",128,7.660338,"gradual","best","list"
"10140424040a2384200",10,18.9873417721519,"m.list_insert.5.inv.acc.58",128,7.655909,"gradual","best","list"
"10150424040a2384200",10,20.253164556962,"m.appendLemmaLoopBody.1.pre.default.18",128,7.773343,"gradual","best","list"
"10150424040a2384240",10,21.5189873417722,"p.sortedSeg.6.pred.acc.72",128,7.635037,"gradual","best","list"
"10150c24040a2384240",10,22.7848101265823,"m.appendLemmaLoopBody.1.pre.default.23",128,7.649303,"gradual","best","list"
"101d0c24040a2384240",10,24.0506329113924,"m.appendLemmaAfterLoopBody.4.unfold.pred_inst.15",128,7.690544,"gradual","best","list"
